Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Australia,5267,Yarrabubba,Surficial,Fluvial valley,≥25 - <300,≥0.05 - <0.10
Australia,2027,Yarranna 1,Sandstone,Basal Channel,≥300 - <1000,≥0.01 - <0.05
Australia,73,Yeelirrie,Surficial,Fluvial valley,≥25000 - <50000,≥0.10 - <0.20
Australia,1334,Yuinmerry,Surficial,Fluvial valley,≥300 - <1000,≥0.01 - <0.05
Austria,1411,Forstau,Metamorphite,Stratabound,≥1000 - <2500,≥0.05 - <0.10
Austria,5369,Mitterberg,Metamorphite,Stratabound,≥25 - <300,≥0.05 - <0.10
Austria,7107,Obertauern-Tweng,Metamorphite,Stratabound,≥25 - <300,≥0.01 - <0.05
Belgium,5370,Mons Basin,Phosphate,Minerochemical phosphorite,≥25000 - <50000,>0 - <0.01
"Bolivia, Plurinational State of",74,Cotaje,Volcanic-related,Structurally-controlled,≥25 - <300,≥0.05 - <0.10
Botswana,1546,Gorgon Main,Sandstone,Tabular,≥50000 - <100000,≥0.01 - <0.05
Botswana,1697,Gorgon South,Sandstone,Tabular,≥25000 - <50000,≥0.01 - <0.05
Botswana,1696,Gorgon West,Sandstone,Tabular,≥25000 - <50000,≥0.01 - <0.05
Botswana,1547,Kraken,Sandstone,Tabular,≥5000 - <10000,≥0.01 - <0.05
Botswana,1698,Lekobolo,Sandstone,Tabular,≥1000 - <2500,≥0.01 - <0.05
Botswana,1124,Mokobaesi,Surficial,Lacustrine-playa,≥1000 - <2500,≥0.01 - <0.05
Botswana,1771,Serule E,Sandstone,Tabular,≥300 - <1000,≥0.01 - <0.05
Botswana,1258,Serule Nw,Sandstone,Tabular,≥25000 - <50000,≥0.01 - <0.05
Botswana,1772,Serule W,Sandstone,Tabular,≥10000 - <25000,≥0.01 - <0.05
Brazil,1338,Alcantil,Metasomatite,,≥1000 - <2500,≥0.05 - <0.10
Brazil,5371,Alvo 118,Polymetallic iron oxide breccia complex,,≥5000 - <10000,>0 - <0.01
Brazil,75,Amorinopolis,Sandstone,Tabular,≥2500 - <5000,≥0.01 - <0.05
Brazil,1339,Araxa,Intrusive,Plutonic,≥10000 - <25000,>0 - <0.01
Brazil,4449,Baixa do Almeda,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.20 - <0.50
Brazil,4501,Brejal,Metasomatite,Na-metasomatite,≥1000 - <2500,≥0.05 - <0.10
Brazil,7889,Buena Mine,Surficial,Placer,≥1000 - <2500,>0 - <0.01
Brazil,4287,Cachoeira,Metasomatite,Na-metasomatite,≥10000 - <25000,≥0.20 - <0.50
Brazil,76,Campos Belos,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Brazil,5372,Canavieiras,Paleo-quartz-pebble conglomerate,Au-Dominant,≥1000 - <2500,≥0.01 - <0.05
Brazil,1699,Catalao,Intrusive,Plutonic,≥50000 - <100000,≥0.01 - <0.05
Brazil,4285,Cristalino,Polymetallic iron oxide breccia complex,,≥10000 - <25000,>0 - <0.01
